,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
3796,100.000000,88,120,111.400000,119.000,3,93.500000,4.064100,5.701800,20.000000,5,2785
3797,100.000000,88,120,111.500000,119.000,2,92.000000,-0.320200,0.000000,25.000000,5,2230
3798,100.000000,88,88,88.000000,88.000,1,92.000000,-0.895600,-0.362300,100.000000,2,176
3799,100.000000,88,88,88.000000,88.000,1,92.000000,-1.222200,0.363600,100.000000,2,176
3800,100.000000,88,88,88.000000,88.000,1,92.000000,-2.534000,0.000000,100.000000,2,176
3801,100.000000,120,400,256.666667,300.000,3,97.333333,,,33.333300,110,169400
3802,100.000000,120,400,256.666667,300.000,3,97.333333,0.691500,0.380200,33.333300,110,169400
3803,100.000000,120,400,256.666667,300.000,3,97.333333,-13.203400,-13.636400,50.000000,110,169400
3804,100.000000,120,400,256.666667,300.000,3,97.333333,4.064100,5.701800,50.000000,110,169400
3805,100.000000,300,400,325.000000,300.000,2,100.000000,26.027000,28.630700,25.000000,97,126100
3806,100.000000,300,400,325.000000,300.000,2,100.000000,-12.293100,-11.935500,25.000000,97,126100
3807,100.000000,300,400,325.000000,300.000,2,100.000000,-0.780900,0.000000,25.000000,97,126100
3808,100.000000,300,400,325.000000,300.000,2,100.000000,-0.656700,1.098900,25.000000,97,126100
3809,100.000000,120,120,120.000000,120.000,1,96.000000,,,100.000000,5,600
3810,100.000000,120,120,120.000000,120.000,1,96.000000,0.691500,0.380200,100.000000,5,600
3811,100.000000,120,120,120.000000,120.000,1,96.000000,-13.203400,-13.636400,100.000000,5,600
3812,100.000000,120,120,120.000000,120.000,1,96.000000,4.064100,5.701800,100.000000,5,600
3813,100.000000,300,300,300.000000,300.000,1,96.000000,,,100.000000,42,37800
3814,100.000000,300,300,300.000000,300.000,1,96.000000,0.691500,0.380200,100.000000,42,37800
3815,100.000000,300,300,300.000000,300.000,1,96.000000,-13.203400,-13.636400,100.000000,42,37800
3816,100.000000,300,300,300.000000,300.000,1,96.000000,4.064100,5.701800,100.000000,42,37800
3817,100.000000,300,300,300.000000,300.000,1,96.000000,26.027000,28.630700,100.000000,42,37800
3818,100.000000,300,300,300.000000,300.000,1,96.000000,-12.293100,-11.935500,100.000000,42,37800
3819,100.000000,300,300,300.000000,300.000,1,96.000000,-0.780900,0.000000,100.000000,42,37800
3820,100.000000,300,300,300.000000,300.000,1,96.000000,-0.656700,1.098900,100.000000,42,37800
3821,100.000000,300,300,300.000000,300.000,1,96.000000,-0.320200,0.000000,100.000000,42,37800
3822,100.000000,300,300,300.000000,300.000,1,96.000000,-0.895600,-0.362300,100.000000,42,37800
3823,100.000000,300,300,300.000000,300.000,1,96.000000,-1.222200,0.363600,100.000000,42,37800
3824,100.000000,300,300,300.000000,300.000,1,96.000000,-2.534000,0.000000,100.000000,42,37800
3825,100.000000,31,294,69.520548,51.000,24,82.578947,,,8.219200,1116,5663700
3826,100.000000,31,294,68.702703,51.000,24,82.578947,0.691500,0.380200,8.108100,1117,5678828
3827,100.000000,34,294,70.300000,55.500,22,83.833333,-13.203400,-13.636400,8.571400,997,4906237
3828,100.000000,34,294,71.179104,60.000,21,82.909091,4.064100,5.701800,8.955200,975,4649775
3829,100.000000,31,294,67.933333,51.000,23,80.432432,26.027000,28.630700,8.000000,1215,6190425
3830,100.000000,31,294,70.970588,60.000,23,80.812500,-12.293100,-11.935500,4.411800,1081,5216906
3831,100.000000,31,294,71.500000,60.000,22,82.448276,-0.780900,0.000000,4.838700,970,4300010
3832,100.000000,31,294,72.615385,60.000,23,82.448276,-0.656700,1.098900,4.615400,991,4677520
3833,100.000000,31,294,71.500000,60.000,22,82.448276,-0.320200,0.000000,3.225800,970,4300010
3834,100.000000,31,294,71.500000,60.000,22,82.448276,-0.895600,-0.362300,3.225800,970,4300010
3835,100.000000,31,294,71.830508,51.000,21,81.230769,-1.222200,0.363600,3.389800,880,3729440
3836,100.000000,31,294,70.064516,51.000,21,82.137931,-2.534000,0.000000,3.225800,894,3883536
3837,100.000000,31,1977,110.120846,80.000,86,93.201794,,,31.419900,5215,190086750
3838,100.000000,31,1977,109.746988,80.000,87,93.133333,0.691500,0.380200,31.325300,5192,189175712
