,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
243,99.803600,0,3500,110.521055,70.000,285,92.542567,26.027000,28.630700,14.807500,102048,57317096064
244,99.802700,0,3500,113.129613,72.000,284,92.633723,-12.293100,-11.935500,12.606900,88296,45469437936
245,99.800000,0,3500,112.310329,72.000,281,92.595814,-0.780900,0.000000,13.352600,86295,43535654910
246,99.794400,0,3500,113.677043,74.000,272,92.696936,-0.656700,1.098900,13.156700,84547,41990690285
247,99.792900,0,3500,113.012682,73.000,273,92.493953,-0.320200,0.000000,10.630500,83124,40742064864
248,99.790600,0,3500,112.573427,72.000,271,92.479159,-0.895600,-0.362300,10.746700,82434,39810675960
249,99.787900,0,3500,112.336718,71.000,272,92.598985,-1.222200,0.363600,10.414700,81570,38806601220
250,99.779500,0,3500,112.700466,70.000,260,92.695813,-2.534000,0.000000,11.670000,78563,36062695327
251,99.781800,20,5000,152.419983,90.000,299,93.608169,,,24.083800,83890,58485507410
252,99.784700,20,5000,151.262624,89.000,292,93.633518,0.691500,0.380200,24.052500,84686,59360736386
253,99.861800,20,5000,155.445675,90.000,273,93.519270,-13.203400,-13.636400,27.367000,76608,51622837056
254,99.839400,20,5000,153.540547,89.000,272,93.624335,4.064100,5.701800,27.299900,76822,51344905564
255,99.727000,20,5000,152.317560,86.000,288,93.744960,26.027000,28.630700,25.000000,96316,75025540832
256,99.785600,20,2001,148.951450,90.000,284,93.664459,-12.293100,-11.935500,26.966800,85679,59407162551
257,99.784300,20,2001,151.029399,90.000,287,93.718514,-0.780900,0.000000,27.092300,84911,59324089082
258,99.766600,20,2001,153.362263,90.000,299,93.737937,-0.656700,1.098900,27.016100,86355,62258155380
259,99.763400,20,2001,153.793059,90.000,298,93.762433,-0.320200,0.000000,28.731200,84822,60515916612
260,99.760000,20,2001,153.890420,90.000,294,93.908039,-0.895600,-0.362300,29.063900,82800,58257003600
261,99.908400,21,2711,146.824891,100.000,308,93.655060,-12.293100,-11.935500,8.197800,93674,60007283378
262,99.904900,21,2711,145.967634,100.000,289,93.789434,-0.780900,0.000000,8.107500,90734,55652243304
263,99.905200,21,3586,150.071395,100.000,293,93.590858,-0.656700,1.098900,8.293700,91144,57666899944
264,99.905100,21,3586,149.708215,100.000,297,93.730129,-0.320200,0.000000,8.040800,90926,57335298746
265,99.904900,21,3586,149.812039,100.000,291,93.548804,-0.895600,-0.362300,8.319500,90602,57048455320
266,99.904100,21,3586,150.417366,100.000,292,93.514604,-1.222200,0.363600,8.171600,89938,56399220420
